Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2022,22/07/2022,National Pledges,,Below 2 Degrees,1.5 Degrees,Electricity Utilities_01/11/2021,2030;2040,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.78,0.7,0.68,0.66,0.6,0.61,0.57,0.53,0.49,0.45,0.41,0.37,0.32,0.28,0.24,0.2,0.16,0.14,0.13,0.11,0.1,0.08,0.06,0.05,0.03,0.02,0.0,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2021,05/08/2021,National Pledges,,Below 2 Degrees,1.5 Degrees,Electricity Utilities_01/11/2021,2030;2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.681,0.64,0.64,0.65,0.605454545,0.560909091,0.516363636,0.471818182,0.427272727,0.382727273,0.338181818,0.293636364,0.249090909,0.204545455,0.16,0.144,0.128,0.112,0.096,0.08,0.064,0.048,0.032,0.016,0.0,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/10/2020,12/08/2020,,,,Paris Pledges,Electricity Utilities_01/10/2020,,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.61,0.564,0.518,0.432,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2019,12/07/2019,,,,Below 2 Degrees,Electricity Utilities_01/09/2019,,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.619,0.568,0.518,0.431,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2023,04/07/2023,Not Aligned,,1.5 Degrees,1.5 Degrees,Electricity Utilities_01/11/2021,2023;2034;2035,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.883947889,0.829895779,0.795085233,0.760274688,0.725464143,0.690653597,0.655843052,0.621032507,0.586221961,0.551411416,0.516600871,0.481790325,0.44697978,0.0,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2022,22/07/2022,Not Aligned,,Not Aligned,Below 2 Degrees,Electricity Utilities_01/11/2021,2024;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.92,0.9,0.87,0.85,0.81,0.78,0.75,0.72,0.68,0.65,0.62,0.59,0.55,0.52,0.49,0.46,0.42,0.39,0.36,0.33,0.29,0.26,0.23,0.2,0.16,0.13,0.1,0.07,0.03,0.0
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2021,05/08/2021,Not Aligned,,Not Aligned,Below 2 Degrees,Electricity Utilities_01/11/2021,2024;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.97,0.97,0.96,0.98,0.97,0.95,0.94,0.921048,0.902096,0.883144,0.864192,0.84524,0.812730769,0.780221538,0.747712308,0.715203077,0.682693846,0.650184615,0.617675385,0.585166154,0.552656923,0.520147692,0.487638462,0.455129231,0.42262,0.390110769,0.357601538,0.325092308,0.292583077,0.260073846,0.227564615,0.195055385,0.162546154,0.130036923,0.097527692,0.065018462,0.032509231,0.0
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/10/2020,12/08/2020,,,,Not Aligned,Electricity Utilities_01/10/2020,,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.98,0.97,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2019,12/07/2019,,,,Not Aligned,Electricity Utilities_01/09/2019,,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.966,0.957,0.941,0.925,0.91,0.894,0.878,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/07/2018,02/07/2018,,,,Not Aligned,Electricity Utilities_01/07/2018,,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),AGL Energy has not disclosed a quantitative target to reduce its emissions which TPI can use to estimate future carbon performance.,0.958,0.958,0.948,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2024,24/11/2023,,1.5 Degrees,1.5 Degrees,1.5 Degrees,Airlines_01/02/2022,2030;2050,2022,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's targets aim to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's passenger activity grows according to the passenger aviation activity growth rate projected in the IEA's 2020 Energy Technology Perspective (ETP) and that its freight activity grows according to ICAO post-COIVD projections. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,897.4714008,907.8960023,869.6779069,841.148028,838.4035049,870.9869341,1039.790902,944.1208271,850.8722262,796.8605778,742.8489293,688.8372809,634.8256325,580.813984,526.8023356,472.7906872,418.7790387,397.8400868,376.9011349,355.9621829,335.023231,314.084279,293.1453271,272.2063752,251.2674232,230.3284713,209.3895194,188.4505674,167.5116155,146.5726636,125.6337116,104.6947597,83.75580775,62.81685581,41.87790387,20.93895194,0.0
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2022,05/12/2022,1.5 Degrees,,International Pledges,Not Aligned,Airlines_01/02/2022,2030,2021,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set a 2030 target to reduce its emissions intensity and this has been included. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,897.4714008,907.8960023,869.6779069,841.148028,838.4035049,870.9869341,1076.444014,944.1208271,905.994178,867.8675288,829.7408796,791.6142304,753.4875812,715.3609321,677.2342829,639.1076337,600.9809845,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2022,13/01/2022,Not Aligned,,Not Aligned,Not Aligned,Airlines_01/02/2022,,2020,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology (which excludes offsets in the aviation sector).",,897.0,908.0,870.0,841.0,838.0,871.0,1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2020,23/10/2020,,,,Not Aligned,Airlines_01/12/2020,,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,897.0,908.0,870.0,844.0,842.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2019,07/11/2019,,,,Not Aligned,Airlines_01/12/2019,,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s intensity calculation excludes emissions and passenger traffic data for ANA's low cost carrier operations.,,660.0,662.0,638.0,620.0,614.0,629.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2019,04/01/2019,,,,Not Aligned,Airlines_01/02/2019,,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,137.0,134.0,132.0,128.0,130.0,132.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/11/2023,26/04/2023,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,Diversified Mining_01/06/2022,,,Carbon intensity (tonne CO2e / tonne copper equivalent),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. TPI was unable to calculate a carbon intensity according to its methodology, as the company does not disclose Scope 1 and 2 emissions of its coal business. We are therefore unable to derive an emissions intensity that is representative of the whole company’s business activity.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/12/2022,05/12/2022,1.5 Degrees,,1.5 Degrees,1.5 Degrees,Shipping_01/02/2022,2030;2045,2021,Carbon intensity (gCO2 / t-km),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,7.7,7.0,7.2,7.1,6.6,7.0,6.6,6.2,5.8,5.4,4.9,4.5,4.1,3.7,3.3,3.1,2.9,2.6,2.4,2.2,2.0,1.8,1.5,1.3,1.1,0.9,0.7,0.4,0.2,0.0,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/02/2022,13/01/2022,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,Shipping_01/02/2022,2030;2050,2020,Carbon intensity (gCO2 / t-km),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,7.67,7.05,7.17,7.06,6.59,6.42,6.25,6.08,5.91,5.74,5.57,5.4,5.23,5.06,4.89,4.65,4.4,4.16,3.91,3.67,3.42,3.18,2.94,2.69,2.45,2.2,1.96,1.71,1.47,1.22,0.98,0.73,0.49,0.24,0.0
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/12/2020,23/10/2020,,,,Below 2 Degrees,Shipping_01/12/2020,,2019,Carbon intensity (gCO2 / t-km),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,4.45,4.38,4.3,4.1,3.98,3.87,3.75,3.63,3.52,3.4,3.28,3.17,3.05,2.93,2.82,2.68,2.54,2.4,2.25,2.11,1.97,1.83,1.69,1.55,1.41,1.27,1.13,0.99,0.85,0.7,0.56,0.42,0.28,0.14,0.0
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/12/2019,07/11/2019,,,,Below 2 Degrees,Shipping_01/12/2019,,2018,Carbon intensity (gCO2 / t-km),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector.  The carbon intensity has been recalculated according to TPI methodology. TPI assumes that carbon intensity reported in the company's CDP Climate Change Response takes precedence over the fuel efficiency data reported in the company's Annual Report.,,,,4.5,4.4,4.3,4.2,4.1,4.0,3.8,3.7,3.6,3.5,3.4,3.3,3.1,3.0,2.9,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2023,30/06/2023,Not Aligned,,Not Aligned,Not Aligned,Oil & Gas_01/11/2023,,2021,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,69.81367486,73.12089704,73.77851541,74.21856859,74.67966,73.19726232,73.17351374,73.29699728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/09/2022,01/08/2022,Not Aligned,,Not Aligned,Not Aligned,Oil & Gas_01/11/2021,,2020,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI's methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,69.81,73.12,73.78,74.22,73.83,72.47,72.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2021,05/08/2021,Not Aligned,,Not Aligned,Not Aligned,Oil & Gas_01/11/2021,,2019,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,69.81367486,73.12089704,73.77851541,74.21856859,73.82810993,72.47060761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/10/2020,12/08/2020,,,,Not Aligned,Oil & Gas_01/10/2020,,2018,Emissions intensity (gCO2e / MJ),The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.,,72.48,73.16,73.69,73.41,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/09/2019,02/08/2019,,,,Not Aligned,Oil & Gas_01/09/2019,,2017,Emissions intensity (gCO2e / MJ),The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.,,72.393,73.088,73.626,73.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/10/2023,12/06/2023,1.5 Degrees,,1.5 Degrees,1.5 Degrees,Steel_01/04/2022,2030;2050,2021,Carbon intensity (tonnes of CO2 per tonne of steel),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.924755152,0.930710202,0.989660656,1.232366124,1.15,1.11,1.089777778,1.069555556,1.049333333,1.029111111,1.008888889,0.988666667,0.968444444,0.948222222,0.928,0.8816,0.8352,0.7888,0.7424,0.696,0.6496,0.6032,0.5568,0.5104,0.464,0.4176,0.3712,0.3248,0.2784,0.232,0.1856,0.1392,0.0928,0.0464,0.0
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/04/2022,01/04/2022,1.5 Degrees,,1.5 Degrees,1.5 Degrees,Steel_01/04/2022,2030;2050,2021,Carbon intensity (tonnes of CO2 per tonne of steel),"The company discloses an emissions intensity using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.925,0.931,0.99,1.232,1.15,1.11,1.092,1.075,1.057,1.04,1.022,1.005,0.987,0.97,0.952,0.904,0.857,0.809,0.762,0.714,0.666,0.619,0.571,0.524,0.476,0.428,0.381,0.333,0.286,0.238,0.19,0.143,0.095,0.048,0.0
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2021,23/12/2020,Below 2 Degrees,,Below 2 Degrees,Below 2 Degrees,Steel_01/02/2021,2050,2019,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.925,0.931,0.99,0.622,0.602,0.582,0.562,0.542,0.522,0.502,0.482,0.462,0.441,0.421,0.401,0.381,0.361,0.341,0.321,0.301,0.281,0.261,0.241,0.221,0.201,0.181,0.161,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2020,20/12/2019,,,,2 Degrees,Steel_01/02/2020,,2018,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.924755152,0.930710202,0.989660656,0.986691674,0.983722692,0.98075371,0.977784728,0.974815746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2018,18/09/2018,,,,Below 2 Degrees,Steel_01/09/2018,,2016,Carbon intensity (tonnes of CO2 per tonne of steel),"Acerinox has set targets to reduce its emissions intensity. For this company, TPI has assumed that:
● The company’s future steel production grows at the same rate as IEA projections.",0.55,0.55,0.59,0.6,0.494,0.389,0.283,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2017,14/09/2017,,,,2 Degrees,Steel_01/11/2017,,2015,Carbon intensity (tonnes of CO2 per tonne of steel),,0.55,0.55,0.59,0.578,0.566,0.555,0.543,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Arabia,United Arab Emirates,ARE,Airlines,No,medium,AEA003001012,B23DL40,01/02/2024,24/11/2023,,No or unsuitable disclosure,No or unsuitable disclosure,No or unsuitable disclosure,Airlines_01/02/2022,,,Carbon intensity (gCO2 / RTK),"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
