Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/11/2023,04/07/2023,non-OECD,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,non-OECD_Electricity Utilities_01/04/2022,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses emissions intensity and target using an emissions figure that is inconsistent with TPI’s methodology for this sector. The company does not disclose sufficient data to allow TPI to recalculate current carbon intensity according to TPI methodology or to estimate future Carbon Performance.   When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/09/2022,22/07/2022,non-OECD,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,non-OECD_Electricity Utilities_01/04/2022,,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/11/2021,05/08/2021,non-OECD,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,non-OECD_Electricity Utilities_01/04/2022,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/11/2023,04/07/2023,non-OECD,Not Aligned,,National Pledges,Below 2 Degrees,non-OECD_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses a target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,0.871,0.89,0.81,0.784,0.766,0.618,0.616,0.587555556,0.559111111,0.530666667,0.502222222,0.473777778,0.445333333,0.416888889,0.388444444,0.36,0.342,0.324,0.306,0.288,0.27,0.252,0.234,0.216,0.198,0.18,0.162,0.144,0.126,0.108,0.09,0.072,0.054,0.036,0.018,0.0
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/09/2022,22/07/2022,non-OECD,Not Aligned,,National Pledges,Below 2 Degrees,non-OECD_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. The  company also disclosed a set of 2030 targets which include purchased electricity hence could not be included in TPI's assessment. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.84,0.81,0.82,0.8,0.74,0.71,0.66,0.65,0.62,0.59,0.55,0.52,0.49,0.46,0.42,0.39,0.36,0.34,0.32,0.31,0.29,0.27,0.25,0.23,0.22,0.2,0.18,0.16,0.14,0.13,0.11,0.09,0.07,0.05,0.04,0.02,0.0
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/11/2021,05/08/2021,non-OECD,Not Aligned,,Not Aligned,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses 2030, 2040, and 2050 targets using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. These targets include both generated and purchased electricity. TPI’s current methodology is restricted to the emissions intensity of owned generation, which cannot be reliably estimated from the disclosed targets.",0.82,0.84,0.81,0.82,0.8,0.74,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/11/2021,05/08/2021,North-America,Not Aligned,,National Pledges,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.965721064,0.92498297,0.912167281,0.792918644,0.801,0.799,0.744,0.708571429,0.673142857,0.637714286,0.602285714,0.566857143,0.531428571,0.496,0.460571429,0.425142857,0.389714286,0.354285714,0.318857143,0.283428571,0.248,0.212571429,0.177142857,0.141714286,0.106285714,0.070857143,0.035428571,0.0,,,,,,,,,,
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions target using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector.,,,,,1.039,1.03,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/11/2023,04/07/2023,non-OECD,Not Aligned,,Not Aligned,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.78,0.755,0.728,0.726,0.692,0.658150657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/09/2022,22/07/2022,non-OECD,Not Aligned,,Not Aligned,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.78,0.76,0.73,0.73,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Power,China,CHN,Electricity Utilities,No,large,HK0836012952,6711566,01/11/2021,05/08/2021,non-OECD,Not Aligned,,Not Aligned,Not Aligned,non-OECD_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance.",,,,,0.78,0.755,0.728,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/11/2023,04/07/2023,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI generally assesses companies based on the emissions intensity of their owned generation. However, in the case of Chubu and TEPCO, taking the emissions intensity of sold electricity (i.e. power sales) provides a more representative assessment of these two companies’ transition risk, given that it includes the emissions of JERA, an electricity utility that TEPCO and Chubu jointly own.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.513,0.497,0.486,0.485,0.476,0.457,0.431,0.406,0.449,0.432888889,0.416777778,0.400666667,0.384555556,0.368444444,0.352333333,0.336222222,0.320111111,0.304,0.2888,0.2736,0.2584,0.2432,0.228,0.2128,0.1976,0.1824,0.1672,0.152,0.1368,0.1216,0.1064,0.0912,0.076,0.0608,0.0456,0.0304,0.0152,0.0
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/09/2022,22/07/2022,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI generally assesses companies based on the emissions intensity of their owned generation. However, in the case of Chubu and TEPCO, taking the emissions intensity of sold electricity (i.e. power sales) provides a more representative assessment of these two companies' transition risk, given that it includes the emissions of JERA, an electricity utility that TEPCO and Chubu jointly own. Note that the pathway above includes JERA's emissions and that a pathway for Chubu's emissions intensity excluding JERA would be at 0.012 tCO2/MWh in 2020. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.5,0.49,0.49,0.48,0.46,0.43,0.41,0.4,0.39,0.38,0.37,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.27,0.26,0.24,0.23,0.21,0.2,0.18,0.17,0.15,0.14,0.12,0.11,0.09,0.08,0.06,0.05,0.03,0.02,0.0
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity for the year 2019 using a boundary that is inconsistent with TPI’s methodology for this sector. We therefore do not include this year in the assessment. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,0.469189618,0.466495486,0.488944359,0.484594367,0.473090896,0.458965342,0.444839788,0.430714234,0.416588679,0.402463125,0.388337571,0.374212017,0.360086463,0.345960908,0.331835354,0.3177098,0.303584246,0.288405034,0.273225821,0.258046609,0.242867397,0.227688184,0.212508972,0.19732976,0.182150548,0.166971335,0.151792123,0.136612911,0.121433698,0.106254486,0.091075274,0.075896061,0.060716849,0.045537637,0.030358425,0.015179212,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/11/2023,04/07/2023,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.5755477,0.580294518,0.549079116,0.553476559,0.534391161,0.515305762,0.496220364,0.477134965,0.458049566,0.438964168,0.419878769,0.400793371,0.381707972,0.362622573,0.343537175,0.324451776,0.305366378,0.286280979,0.26719558,0.248110182,0.229024783,0.209939385,0.190853986,0.171768587,0.152683189,0.13359779,0.114512392,0.095426993,0.076341594,0.057256196,0.038170797,0.019085399,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/09/2022,22/07/2022,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.58,0.58,0.55,0.53,0.51,0.49,0.48,0.46,0.44,0.42,0.4,0.38,0.37,0.35,0.33,0.31,0.29,0.27,0.26,0.24,0.22,0.2,0.18,0.16,0.15,0.13,0.11,0.09,0.07,0.05,0.04,0.02,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,2029,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.5755477,0.580294518,0.559265066,0.538235614,0.517206162,0.496176711,0.475147259,0.454117807,0.433088355,0.412058904,0.391029452,0.37,,,,,,,,,,,,,,,,,,,,,
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/11/2021,05/08/2021,North-America,National Pledges,,National Pledges,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,0.35695461,0.304431874,0.282037565,0.273374107,0.260356293,0.247338478,0.234320664,0.221302849,0.208285034,0.19526722,0.182249405,0.16923159,0.156213776,0.143195961,0.130178146,0.117160332,0.104142517,0.091124702,0.078106888,0.065089073,0.052071259,0.039053444,0.026035629,0.013017815,0.0,,,,,,,,,,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2023;2030;2040;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.695,0.682,0.729,0.686,0.69934992,0.71269984,0.726049761,0.739399681,0.709804931,0.680210182,0.650615432,0.621020683,0.591425933,0.561831184,0.532236434,0.499236268,0.466236102,0.433235936,0.400235769,0.367235603,0.334235437,0.301235271,0.268235104,0.235234938,0.202234772,0.182011295,0.161787818,0.14156434,0.121340863,0.101117386,0.080893909,0.060670432,0.040446954,0.020223477,0.0
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2021,05/08/2021,North-America,National Pledges,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,,0.331,0.312,0.269,0.264350888,0.259701775,0.255052663,0.25040355,0.245754438,0.241105326,0.236456213,0.231807101,0.227157988,0.222508876,0.217859763,0.206966775,0.196073787,0.185180799,0.174287811,0.163394823,0.152501834,0.141608846,0.130715858,0.11982287,0.108929882,0.098036894,0.087143905,0.076250917,0.065357929,0.054464941,0.043571953,0.032678965,0.021785976,0.010892988,0.0
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.476276876,0.476276876,0.453597024,0.439989114,0.435453143,0.426381203,0.390093441,0.353805679,0.350567036,0.347328393,0.344089749,0.340851106,0.337612463,0.33437382,0.331135176,0.327896533,0.32465789,0.321419247,0.305348284,0.289277322,0.27320636,0.257135397,0.241064435,0.224993473,0.20892251,0.192851548,0.176780586,0.160709623,0.144638661,0.128567699,0.112496736,0.096425774,0.080354812,0.064283849,0.048212887,0.032141925,0.016070962,0.0
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2023,04/07/2023,OECD,National Pledges,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has disclosed a Scope 1 and 2 target. However, TPI cannot accept the 2030 target as E.ON also operates a natural gas business that may have significant Scope 1 non-electricity emissions When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.071147541,0.218390805,0.206257982,0.19412516,0.181992337,0.169859515,0.157726692,0.14559387,0.133461047,0.121328225,0.109195402,0.09706258,0.084929757,0.072796935,0.060664112,0.04853129,0.036398467,0.024265645,0.012132822,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/09/2022,22/07/2022,OECD,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.45,0.41,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.0,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2021,05/08/2021,OECD,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.060880282,0.057676056,0.054471831,0.051267606,0.04806338,0.044859155,0.04165493,0.038450704,0.035246479,0.032042254,0.028838028,0.025633803,0.022429577,0.019225352,0.016021127,0.012816901,0.009612676,0.006408451,0.003204225,0.0,,,,,,,,,,
