Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
 Yankuang Energy,China,CHN,Coal Mining,No,large,CNE1000004Q8;CNE000000WV6,6109893;6119289;BP3R5S5,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3M,United States of America,USA,Other Industrials,No,large,US88579Y1010,2595708,01/11/2023,17/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
A2A,Italy,ITA,Electricity Utilities,No,medium,IT0001233417,5499131,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
ABB,Switzerland,CHE,Other Industrials,No,large,CH0012221716,7108899,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/11/2023,17/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
ACS Group,Spain,ESP,Other Industrials,No,medium,ES0167050915,B01FLQ6,01/11/2023,11/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
AGC,Japan,JPN,Other Industrials,No,large,JP3112000009,6055208,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2023,21/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
AKR Corporindo Tbk,Indonesia,IDN,Oil & Gas Distribution,No,small,ID1000106701,#N/A,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/11/2023,14/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
APA  Group,Australia,AUS,Oil & Gas Distribution,No,large,AU000000APA1,6247306,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2023,05/05/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
ASE Group,Taiwan,TWN,Services,No,large,TW0003711008,BFXZDY1,01/11/2023,19/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
AT&T,United States of America,USA,Services,No,large,US00206R1023,2831811,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
AbbVie,United States of America,USA,Consumer Goods,No,large,US00287Y1091,B92SR70,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Abbott Laboratories,United States of America,USA,Consumer Goods,No,large,US0028241000,2002305,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Aboitiz Power,Philippines,PHL,Electricity Utilities,No,medium,PHY0005M1090,B1Z9Q99,01/11/2023,26/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Accenture,United States of America,USA,Services,No,large,IE00B4BNMY34,B4BNMY3,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/11/2023,14/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/11/2023,02/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Adani Transmissions,India,IND,Electricity Utilities,No,large,INE931S01010,BYPCLL6,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aeon,Japan,JPN,Consumer Goods,No,large,JP3388200002,6480048,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/11/2023,13/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Agilent Technologies,United States of America,USA,Other Industrials,No,large,US00846U1016,2520153,01/11/2023,03/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Ahold Delhaize,Netherlands,NLD,Services,No,large,NL0011794037,BD0Q398,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Air Arabia,United Arab Emirates,ARE,Airlines,No,medium,AEA003001012,B23DL40,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0;CNE000001NN0,B04KNF1;B1B8WM5;BP3R4G6,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/11/2023,02/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/11/2023,19/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Air New Zealand,New Zealand,NZL,Airlines,No,medium,NZAIRE0001S2,6426484,01/11/2023,02/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/11/2023,07/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Air Water,Japan,JPN,Chemicals,No,medium,JP3160670000,6441465,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/11/2023,07/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Aisin,Japan,JPN,Other Industrials,No,large,JP3102000001,6010702,01/11/2023,30/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Ajinomoto,Japan,JPN,Food Producers,No,large,JP3119600009,6010906,01/11/2023,07/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Aker BP,Norway,NOR,Oil & Gas,No,large,NO0010345853,B1L95G3,01/11/2023,05/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/11/2023,02/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Albemarle,United States of America,USA,Chemicals,No,medium,US0126531013,2046853,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2023,17/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Alibaba,China,CHN,Services,No,large,US01609W1027,BP41ZD1,01/11/2023,07/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Allegiant Travel,United States of America,USA,Airlines,No,small,US01748X1028,B15M2C3,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Allianz,Germany,DEU,Services,No,large,DE0008404005,5231485,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Almarai,Saudi Arabia,SAU,Food Producers,No,large,SA000A0ETHT1,B137VV2,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alphabet,United States of America,USA,Services,No,large,US02079K3059,BYVY8G0,01/11/2023,03/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Altria,United States of America,USA,Consumer Goods,No,large,US02209S1033,2692632,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Amazon,United States of America,USA,Services,No,large,US0231351067,2000019,01/11/2023,25/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/11/2023,24/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Amcor,United States of America,USA,Other Industrials,No,large,AU000000AMC4,6066608,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/11/2023,09/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
America Movil,Mexico,MEX,Services,No,large,MXP001691213,2667470,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/11/2023,04/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
American Tower,United States of America,USA,Services,No,large,US03027X1000,B7FBFL2,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Amgen,United States of America,USA,Other Industrials,No,large,US0311621009,2023607,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
Amphenol,United States of America,USA,Other Industrials,No,large,US0320951017,2145084,01/11/2023,10/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Ampol,Australia,AUS,Oil & Gas,No,large,AU0000088338,BM91201,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,B1XZS82;B1YW0L9,01/11/2023,04/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Anglo American (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,GB00B1XZS820,B1XZS82;B1YW0L9,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Anheuser-Busch InBev,South Africa,ZAF,Consumer Goods,No,large,BE0974293251,BYYHL23,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Anhui Conch Cement,China,CHN,Cement,Yes,large,CNE1000001W2;CNE0000019V8,6080396;6441595;BP3R2Z1,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Antero Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US03676B1026,BJBT0Q4,01/11/2023,03/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Antero Resources,United States of America,USA,Oil & Gas,No,small,US03674X1063,BFD2WR8,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Apple,United States of America,USA,Other Industrials,No,large,US0378331005,2046251,01/11/2023,12/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Applied Materials,United States of America,USA,Other Industrials,No,large,US0382221051,2046552,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Aramark,United States of America,USA,Services,No,medium,US03852U1060,BH3XG17,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/11/2023,25/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Archer Daniels Midland,United States of America,USA,Food Producers,No,medium,US0394831020,2047317,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Arkema,France,FRA,Chemicals,No,medium,FR0010313833,B0Z5YZ2,01/11/2023,03/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Asahi,Japan,JPN,Consumer Goods,No,large,JP3116000005,6054409,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Asahi Kasei,Japan,JPN,Chemicals,No,large,JP3111200006,6054603,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Ashland,United States of America,USA,Chemicals,No,small,US0441861046,BYND5N1,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ashtrom Group,Israel,ISR,Cement,No,medium,IL0011323156,BN5SBF1,01/11/2023,26/04/2023,0,new,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Asia Cement,Taiwan,TWN,Cement,No,large,TW0001102002,6056331,01/11/2023,16/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Associated British Foods,United Kingdom,GBR,Food Producers,No,large,GB0006731235,673123,01/11/2023,27/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Aston Martin Lagonda Global Holdings,United Kingdom,GBR,Autos,No,small,GB00BN7CG237,BN7CG23,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Astra International,Indonesia,IDN,Coal Mining,No,large,ID1000122807,B800MQ5,01/11/2023,04/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
AstraZeneca,Sweden,SWE,Other Industrials,No,large,GB0009895292,989529,01/11/2023,12/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Autozone,United States of America,USA,Services,No,large,US0533321024,2065955,01/11/2023,07/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Avery Dennison,United States of America,USA,Other Industrials,No,medium,US0536111091,2066408,01/11/2023,12/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Avient,United States of America,USA,Chemicals,No,small,US05368V1061,BMHWY55,01/11/2023,03/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Avista,United States of America,USA,Electricity Utilities,No,small,US05379B1070,2942605,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Axalta Coating Systems,United States of America,USA,Chemicals,No,small,BMG0750C1082,BSFWCF5,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Azul,Brazil,BRA,Airlines,No,medium,BRAZULACNPR4,BD97PR4,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
BAE Systems,United Kingdom,GBR,Other Industrials,No,large,GB0002634946,263494,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No
BAIC Motor,China,CHN,Autos,No,medium,CNE100001TJ4,BTF8BT7,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BASF,Germany,DEU,Chemicals,Yes,large,DE000BASF111,5086577;0083142;5086599,01/11/2023,19/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
BBMG,China,CHN,Cement,No,medium,CNE100000F20;CNE1000010M4,B3NFC51;B3NBFQ1;BP3R5N0,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
